x	data	res	fit_sum	fit1	fit2	fit3	fit4	fit5	Donly	dynamic
0.000	0.000	-0.394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.010	0.000	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.020	0.000	-1.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.030	0.001	-0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.040	0.001	1.193	0.002	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.050	0.000	0.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.059	0.001	-0.778	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.069	0.002	-0.169	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000
0.079	0.004	-0.781	0.003	0.000	0.003	0.000	0.000	0.000	0.000	0.000
0.089	0.003	1.543	0.004	0.000	0.004	0.000	0.000	0.000	0.000	0.000
0.099	0.003	0.083	0.004	0.000	0.003	0.000	0.000	0.000	0.000	0.000
0.109	0.005	-0.182	0.005	0.000	0.005	0.000	0.000	0.000	0.000	0.000
0.119	0.007	0.572	0.007	0.000	0.007	0.000	0.000	0.000	0.000	0.000
0.129	0.010	0.560	0.011	0.000	0.010	0.000	0.000	0.000	0.000	0.000
0.139	0.012	0.411	0.012	0.000	0.012	0.000	0.000	0.000	0.000	0.001
0.149	0.013	-1.517	0.011	0.000	0.011	0.000	0.000	0.000	0.000	0.000
0.158	0.015	0.671	0.016	0.000	0.015	0.000	0.000	0.000	0.000	0.001
0.168	0.015	0.801	0.016	0.000	0.015	0.000	0.000	0.000	0.000	0.001
0.178	0.022	-0.881	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.001
0.188	0.024	-1.562	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.001
0.198	0.023	-0.432	0.022	0.000	0.021	0.000	0.000	0.000	0.000	0.001
0.208	0.023	1.010	0.024	0.000	0.023	0.000	0.000	0.000	0.000	0.002
0.218	0.023	0.875	0.025	0.000	0.023	0.000	0.000	0.000	0.000	0.002
0.228	0.024	-1.811	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.002
0.238	0.025	0.108	0.025	0.000	0.022	0.000	0.000	0.000	0.000	0.002
0.248	0.022	-0.271	0.021	0.000	0.019	0.000	0.000	0.000	0.000	0.002
0.257	0.022	0.012	0.022	0.000	0.019	0.000	0.000	0.000	0.000	0.003
0.267	0.020	0.118	0.020	0.000	0.017	0.000	0.000	0.000	0.000	0.003
0.277	0.018	1.807	0.020	0.000	0.017	0.000	0.000	0.000	0.000	0.003
0.287	0.016	-0.629	0.015	0.000	0.012	0.000	0.000	0.000	0.000	0.003
0.297	0.012	1.119	0.014	0.000	0.010	0.000	0.000	0.000	0.000	0.003
0.307	0.011	0.982	0.012	0.000	0.009	0.000	0.000	0.000	0.000	0.003
0.317	0.014	0.233	0.014	0.000	0.010	0.000	0.000	0.000	0.000	0.004
0.327	0.012	0.253	0.013	0.000	0.008	0.000	0.000	0.000	0.000	0.004
0.337	0.009	-1.328	0.008	0.000	0.005	0.000	0.000	0.000	0.000	0.003
0.347	0.009	-1.416	0.007	0.000	0.004	0.000	0.000	0.000	0.000	0.003
0.356	0.010	-0.982	0.009	0.000	0.004	0.000	0.000	0.000	0.000	0.004
0.366	0.007	-0.178	0.007	0.000	0.003	0.000	0.000	0.000	0.000	0.004
0.376	0.007	0.270	0.007	0.000	0.003	0.000	0.000	0.000	0.000	0.004
0.386	0.006	-0.133	0.006	0.000	0.002	0.000	0.000	0.000	0.000	0.004
0.396	0.006	-2.104	0.005	0.000	0.001	0.000	0.000	0.000	0.000	0.003
0.406	0.005	1.212	0.006	0.001	0.001	0.000	0.000	0.000	0.000	0.004
0.416	0.005	0.075	0.006	0.001	0.001	0.000	0.000	0.000	0.000	0.004
0.426	0.006	0.189	0.007	0.001	0.001	0.000	0.000	0.000	0.000	0.004
0.436	0.005	0.559	0.005	0.001	0.001	0.000	0.000	0.000	0.000	0.004
0.446	0.005	0.318	0.006	0.001	0.000	0.000	0.000	0.000	0.000	0.004
0.455	0.006	-0.957	0.006	0.001	0.000	0.000	0.000	0.000	0.000	0.004
0.465	0.005	-1.169	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.003
0.475	0.008	1.210	0.009	0.003	0.000	0.000	0.000	0.000	0.000	0.005
0.485	0.004	-0.791	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.003
0.495	0.008	1.004	0.009	0.004	0.000	0.000	0.000	0.000	0.000	0.005
0.505	0.004	0.434	0.004	0.002	0.000	0.000	0.000	0.000	0.000	0.003
0.515	0.009	1.610	0.011	0.005	0.000	0.000	0.000	0.000	0.000	0.005
0.525	0.006	0.286	0.006	0.003	0.000	0.000	0.000	0.000	0.000	0.003
0.535	0.010	-1.327	0.009	0.005	0.000	0.000	0.000	0.000	0.000	0.004
0.545	0.008	1.566	0.009	0.005	0.000	0.000	0.000	0.000	0.000	0.004
