x	data	res	fit_sum	fit1	fit2	fit3	fit4	fit5	Donly	dynamic
0.554	0.009	0.590	0.010	0.006	0.000	0.000	0.000	0.000	0.000	0.004
0.564	0.012	-0.065	0.012	0.008	0.000	0.000	0.000	0.000	0.000	0.004
0.574	0.012	-0.248	0.011	0.008	0.000	0.000	0.000	0.000	0.000	0.003
0.584	0.013	0.201	0.013	0.010	0.000	0.000	0.000	0.000	0.000	0.004
0.594	0.011	0.018	0.011	0.008	0.000	0.000	0.000	0.000	0.000	0.003
0.604	0.014	0.210	0.014	0.011	0.000	0.000	0.000	0.000	0.000	0.003
0.614	0.017	-1.232	0.015	0.012	0.000	0.000	0.000	0.000	0.000	0.003
0.624	0.015	0.403	0.015	0.013	0.000	0.000	0.000	0.000	0.000	0.003
0.634	0.017	0.049	0.017	0.014	0.000	0.000	0.000	0.000	0.000	0.003
0.644	0.017	-1.654	0.015	0.013	0.000	0.000	0.000	0.000	0.000	0.002
0.653	0.014	0.943	0.015	0.013	0.000	0.000	0.000	0.000	0.000	0.002
0.663	0.021	-0.544	0.020	0.017	0.000	0.000	0.000	0.000	0.000	0.003
0.673	0.021	0.096	0.021	0.018	0.000	0.000	0.000	0.000	0.000	0.003
0.683	0.017	-0.040	0.017	0.015	0.000	0.000	0.000	0.000	0.000	0.002
0.693	0.017	0.283	0.017	0.015	0.000	0.000	0.000	0.000	0.000	0.002
0.703	0.019	-1.428	0.017	0.016	0.000	0.000	0.000	0.000	0.000	0.002
0.713	0.023	-1.641	0.020	0.018	0.000	0.000	0.000	0.000	0.000	0.002
0.723	0.019	-0.455	0.018	0.017	0.000	0.000	0.000	0.000	0.000	0.002
0.733	0.018	-0.453	0.018	0.016	0.000	0.000	0.000	0.000	0.000	0.001
0.743	0.015	0.252	0.016	0.014	0.000	0.000	0.000	0.000	0.000	0.001
0.752	0.016	0.456	0.017	0.016	0.000	0.000	0.000	0.000	0.000	0.001
0.762	0.012	0.628	0.013	0.012	0.000	0.000	0.000	0.000	0.000	0.001
0.772	0.014	-0.287	0.014	0.013	0.000	0.000	0.000	0.000	0.000	0.001
0.782	0.012	0.599	0.013	0.012	0.000	0.000	0.000	0.000	0.000	0.001
0.792	0.009	2.266	0.011	0.010	0.000	0.000	0.000	0.000	0.000	0.001
0.802	0.010	0.769	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.001
0.812	0.009	0.995	0.010	0.009	0.000	0.000	0.000	0.000	0.000	0.000
0.822	0.006	1.338	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
0.832	0.006	0.604	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
0.842	0.004	1.278	0.005	0.004	0.000	0.000	0.000	0.000	0.000	0.000
0.851	0.006	-0.838	0.005	0.005	0.000	0.000	0.000	0.000	0.000	0.000
0.861	0.005	-0.477	0.005	0.005	0.000	0.000	0.000	0.000	0.000	0.000
0.871	0.003	-0.086	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000
0.881	0.002	0.120	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000
0.891	0.002	-2.345	0.002	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.901	0.002	-1.073	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000
0.911	0.001	1.450	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.921	0.001	0.290	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.931	0.001	-0.544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.941	0.000	0.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.950	0.001	-1.835	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.960	0.000	-0.872	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.970	0.000	-0.652	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.980	0.000	0.213	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.990	0.001	-4.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	0.001	-4.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
