x	data	res	fit_sum	fit1	fit2	fit3	fit4	fit5	Donly	dynamic
0.000	0.000	-0.230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.010	0.000	0.302	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.020	0.000	-1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.030	0.001	0.904	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.040	0.002	1.186	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000
0.050	0.000	1.463	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.059	0.002	-1.140	0.002	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.069	0.002	1.784	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000
0.079	0.004	0.916	0.004	0.001	0.004	0.000	0.000	0.000	0.000	0.000
0.089	0.005	1.298	0.006	0.001	0.005	0.000	0.000	0.000	0.000	0.000
0.099	0.007	-1.427	0.006	0.001	0.005	0.000	0.000	0.000	0.000	0.000
0.109	0.008	-1.401	0.007	0.001	0.006	0.000	0.000	0.000	0.000	0.000
0.119	0.011	-0.233	0.010	0.001	0.009	0.000	0.000	0.000	0.000	0.000
0.129	0.016	-0.517	0.015	0.002	0.013	0.000	0.000	0.000	0.000	0.000
0.139	0.017	0.096	0.017	0.003	0.014	0.000	0.000	0.000	0.000	0.000
0.149	0.016	0.410	0.016	0.002	0.014	0.000	0.000	0.000	0.000	0.000
0.158	0.021	0.431	0.022	0.004	0.018	0.000	0.000	0.000	0.000	0.000
0.168	0.025	-1.682	0.023	0.004	0.018	0.000	0.000	0.000	0.000	0.000
0.178	0.026	0.467	0.027	0.006	0.021	0.000	0.000	0.000	0.000	0.000
0.188	0.024	2.227	0.027	0.007	0.021	0.000	0.000	0.000	0.000	0.000
0.198	0.029	-0.702	0.027	0.008	0.020	0.000	0.000	0.000	0.000	0.000
0.208	0.029	-0.148	0.029	0.010	0.019	0.000	0.000	0.000	0.000	0.000
0.218	0.030	-1.331	0.028	0.010	0.017	0.000	0.000	0.000	0.000	0.000
0.228	0.023	0.978	0.025	0.010	0.014	0.000	0.000	0.000	0.000	0.000
0.238	0.028	0.149	0.028	0.014	0.014	0.000	0.000	0.000	0.000	0.000
0.248	0.027	-1.132	0.025	0.014	0.011	0.000	0.000	0.000	0.000	0.000
0.257	0.027	-0.630	0.026	0.016	0.010	0.000	0.000	0.000	0.000	0.000
0.267	0.025	0.862	0.026	0.018	0.008	0.000	0.000	0.000	0.000	0.000
0.277	0.029	-0.587	0.028	0.021	0.007	0.000	0.000	0.000	0.000	0.000
0.287	0.021	1.237	0.023	0.018	0.005	0.000	0.000	0.000	0.000	0.000
0.297	0.023	0.275	0.023	0.020	0.004	0.000	0.000	0.000	0.000	0.000
0.307	0.023	-0.335	0.023	0.020	0.003	0.000	0.000	0.000	0.000	0.000
0.317	0.027	0.514	0.028	0.025	0.003	0.000	0.000	0.000	0.000	0.000
0.327	0.027	0.675	0.028	0.025	0.003	0.000	0.000	0.000	0.000	0.000
0.337	0.023	0.079	0.023	0.021	0.001	0.000	0.000	0.000	0.000	0.000
0.347	0.021	0.794	0.022	0.021	0.001	0.000	0.000	0.000	0.000	0.000
0.356	0.027	-0.542	0.026	0.025	0.001	0.000	0.000	0.000	0.000	0.000
0.366	0.024	0.521	0.024	0.024	0.001	0.000	0.000	0.000	0.000	0.000
0.376	0.024	0.133	0.024	0.024	0.001	0.000	0.000	0.000	0.000	0.000
0.386	0.022	1.371	0.024	0.023	0.000	0.000	0.000	0.000	0.000	0.000
0.396	0.021	-0.532	0.020	0.020	0.000	0.000	0.000	0.000	0.000	0.000
0.406	0.025	-1.556	0.022	0.022	0.000	0.000	0.000	0.000	0.000	0.000
0.416	0.024	-1.835	0.021	0.021	0.000	0.000	0.000	0.000	0.000	0.000
0.426	0.021	0.877	0.022	0.022	0.000	0.000	0.000	0.000	0.000	0.000
0.436	0.020	-0.775	0.019	0.019	0.000	0.000	0.000	0.000	0.000	0.000
0.446	0.019	-1.226	0.018	0.018	0.000	0.000	0.000	0.000	0.000	0.000
0.455	0.018	-0.321	0.017	0.017	0.000	0.000	0.000	0.000	0.000	0.000
0.465	0.014	-0.921	0.014	0.013	0.000	0.000	0.000	0.000	0.000	0.000
0.475	0.019	-0.111	0.019	0.019	0.000	0.000	0.000	0.000	0.000	0.000
0.485	0.009	1.010	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000
0.495	0.017	-0.723	0.016	0.016	0.000	0.000	0.000	0.000	0.000	0.000
0.505	0.008	0.708	0.009	0.009	0.000	0.000	0.000	0.000	0.000	0.000
0.515	0.015	-1.397	0.014	0.014	0.000	0.000	0.000	0.000	0.000	0.000
0.525	0.008	0.424	0.008	0.008	0.000	0.000	0.000	0.000	0.000	0.000
0.535	0.008	0.976	0.009	0.009	0.000	0.000	0.000	0.000	0.000	0.000
0.545	0.008	0.055	0.008	0.008	0.000	0.000	0.000	0.000	0.000	0.000
0.554	0.007	-0.205	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
0.564	0.008	-0.853	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000
0.574	0.005	1.187	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000
0.584	0.005	0.722	0.005	0.005	0.000	0.000	0.000	0.000	0.000	0.000
0.594	0.004	-0.047	0.004	0.004	0.000	0.000	0.000	0.000	0.000	0.000
0.604	0.003	2.521	0.004	0.004	0.000	0.000	0.000	0.000	0.000	0.000
0.614	0.003	0.733	0.004	0.004	0.000	0.000	0.000	0.000	0.000	0.000
0.624	0.003	-0.014	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000
0.634	0.002	1.371	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000
0.644	0.001	2.072	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000
0.653	0.002	-0.568	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000
0.663	0.001	1.374	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000
0.673	0.001	0.675	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.000
0.683	0.001	0.614	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.693	0.001	-0.672	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.703	0.000	1.040	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.713	0.001	-1.374	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.723	0.001	-1.294	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
0.733	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.743	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.752	0.000	0.586	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.762	0.000	-1.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.772	0.000	1.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.782	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.792	0.000	1.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.802	0.000	-1.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.812	0.000	-0.884	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.822	0.000	1.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.832	0.000	-1.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.842	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.851	0.000	-1.862	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.861	0.000	-2.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.871	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.881	0.000	-1.811	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.891	0.000	0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.901	0.000	-2.896	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.911	0.000	0.330	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.921	0.000	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.931	0.000	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.941	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.950	0.000	-2.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.960	0.000	-2.970	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.970	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.980	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.990	0.000	-5.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	0.000	-5.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
