x	data	res	fit_sum	fit1	fit2	fit3	fit4	fit5	Donly	dynamic
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.030	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.040	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.059	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.069	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.079	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.089	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.099	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.109	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.119	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.129	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.139	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.149	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.158	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.168	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.178	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.188	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.198	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.208	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.218	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.228	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.238	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.248	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.257	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.267	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.277	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.287	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.297	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.307	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.317	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.327	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.337	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.347	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.356	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.366	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.376	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.386	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.396	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.406	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.416	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.426	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.436	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.446	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.455	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.465	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.475	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.485	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.495	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.505	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.515	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.525	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.535	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.545	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.554	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.564	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.574	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.584	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.594	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.604	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.614	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.624	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.634	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.644	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.653	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.663	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.673	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.683	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.693	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.703	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.713	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.723	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.733	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.743	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.752	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.762	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.772	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.782	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.792	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.802	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.812	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.822	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.832	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.842	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.851	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.861	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.871	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.881	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.891	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.901	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.911	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.921	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.931	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.941	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.950	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.960	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.970	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
